election_year	check	lfd_nr	field	observed	expected	difference
1970	ballot_identity	7	number_voters	102963	102963	0
1970	party_identity	7	valid_votes	102449	102449	0
1970	ballot_identity	8	number_voters	53570	53570	0
1970	party_identity	8	valid_votes	53264	53264	0
1970	ballot_identity	9	number_voters	123848	123848	0
1970	party_identity	9	valid_votes	123309	123309	0
1970	ballot_identity	10	number_voters	62900	62900	0
1970	party_identity	10	valid_votes	62607	62607	0
1970	ballot_identity	11	number_voters	46497	46497	0
1970	party_identity	11	valid_votes	46123	46123	0
1970	ballot_identity	12	number_voters	88415	88415	0
1970	party_identity	12	valid_votes	87934	87934	0
1970	ballot_identity	13	number_voters	207334	207334	0
1970	party_identity	13	valid_votes	206547	206547	0
1970	ballot_identity	14	number_voters	67706	67706	0
1970	party_identity	14	valid_votes	67298	67298	0
1970	ballot_identity	15	number_voters	197797	197797	0
1970	party_identity	15	valid_votes	196508	196508	0
1970	ballot_identity	16	number_voters	45712	45712	0
1970	party_identity	16	valid_votes	45203	45203	0
1970	ballot_identity	17	number_voters	122214	122214	0
1970	party_identity	17	valid_votes	121315	121315	0
1970	ballot_identity	18	number_voters	125290	125290	0
1970	party_identity	18	valid_votes	124096	124096	0
1970	ballot_identity	19	number_voters	52677	52677	0
1970	party_identity	19	valid_votes	52055	52055	0
1970	ballot_identity	20	number_voters	176216	176216	0
1970	party_identity	20	valid_votes	175032	175032	0
1970	ballot_identity	21	number_voters	59551	59551	0
1970	party_identity	21	valid_votes	58725	58725	0
1970	ballot_identity	22	number_voters	119463	119463	0
1970	party_identity	22	valid_votes	118527	118527	0
1970	ballot_identity	23	number_voters	2819250	2819250	0
1970	party_identity	23	valid_votes	2802721	2802721	0
1970	ballot_identity	24	number_voters	1852624	1852624	0
1970	party_identity	24	valid_votes	1843962	1843962	0
1970	ballot_identity	25	number_voters	966626	966626	0
1970	party_identity	25	valid_votes	958759	958759	0
1970	ballot_identity	26	number_voters	143095	143095	0
1970	party_identity	26	valid_votes	142317	142317	0
1970	ballot_identity	27	number_voters	381891	381891	0
1970	party_identity	27	valid_votes	380200	380200	0
1970	ballot_identity	28	number_voters	64444	64444	0
1970	party_identity	28	valid_votes	63737	63737	0
1970	ballot_identity	29	number_voters	61790	61790	0
1970	party_identity	29	valid_votes	61004	61004	0
1970	ballot_identity	30	number_voters	129284	129284	0
1970	party_identity	30	valid_votes	128181	128181	0
1970	ballot_identity	31	number_voters	74620	74620	0
1970	party_identity	31	valid_votes	74037	74037	0
1970	ballot_identity	32	number_voters	132916	132916	0
1970	party_identity	32	valid_votes	131858	131858	0
1970	ballot_identity	33	number_voters	190085	190085	0
1970	party_identity	33	valid_votes	188413	188413	0
1970	ballot_identity	34	number_voters	1178125	1178125	0
1970	party_identity	34	valid_votes	1169747	1169747	0
1970	ballot_identity	35	number_voters	524986	524986	0
1970	party_identity	35	valid_votes	522517	522517	0
1970	ballot_identity	36	number_voters	653139	653139	0
1970	party_identity	36	valid_votes	647230	647230	0
1970	ballot_identity	37	number_voters	83009	83009	0
1970	party_identity	37	valid_votes	82605	82605	0
1970	ballot_identity	38	number_voters	152039	152039	0
1970	party_identity	38	valid_votes	150317	150317	0
1970	ballot_identity	39	number_voters	81231	81231	0
1970	party_identity	39	valid_votes	80339	80339	0
1970	ballot_identity	40	number_voters	49674	49674	0
1970	party_identity	40	valid_votes	48976	48976	0
1970	ballot_identity	41	number_voters	43933	43933	0
1970	party_identity	41	valid_votes	43340	43340	0
1970	ballot_identity	42	number_voters	17873	17873	0
1970	party_identity	42	valid_votes	17596	17596	0
1970	ballot_identity	43	number_voters	35527	35527	0
1970	party_identity	43	valid_votes	35051	35051	0
1970	ballot_identity	44	number_voters	72921	72921	0
1970	party_identity	44	valid_votes	71827	71827	0
1970	ballot_identity	45	number_voters	536207	536207	0
1970	party_identity	45	valid_votes	530051	530051	0
1970	ballot_identity	46	number_voters	83009	83009	0
1970	party_identity	46	valid_votes	82605	82605	0
1970	ballot_identity	47	number_voters	453198	453198	0
1970	party_identity	47	valid_votes	447446	447446	0
1970	ballot_identity	48	number_voters	24922	24922	0
1970	party_identity	48	valid_votes	24775	24775	0
1970	ballot_identity	49	number_voters	58078	58078	0
1970	party_identity	49	valid_votes	57771	57771	0
1970	ballot_identity	50	number_voters	178460	178460	0
1970	party_identity	50	valid_votes	177499	177499	0
1970	ballot_identity	51	number_voters	46679	46679	0
1970	party_identity	51	valid_votes	46430	46430	0
