ags	source_page	source_row	field	printed_percentage	method
01051061	22	4	number_voters	77.3	ocr
01051061	22	4	invalid_votes	0.3	ocr
01051061	23	4	cdu	36.2	ocr
01051061	23	4	fdp	0.9	ocr
01051061	23	4	gruene	0.9	ocr
01051062	22	5	without_certificate	91.3	ocr
01051062	22	5	with_certificate	8.7	ocr
01051062	22	5	number_voters	79.3	ocr
01051062	22	5	invalid_votes	0.5	ocr
01051063	22	6	without_certificate	94.3	ocr
01051063	22	6	with_certificate	5.7	ocr
01051063	22	6	number_voters	76.9	ocr
01051063	22	6	invalid_votes	0.3	ocr
01051063	23	6	spd	33.8	ocr
01051063	23	6	fdp	3.0	ocr
01051063	23	6	gruene	2.7	ocr
01051064	22	7	without_certificate	95.1	ocr
01051064	22	7	with_certificate	4.9	ocr
01051064	22	7	number_voters	79.8	ocr
01051064	23	7	spd	32.4	ocr
01051064	23	7	fdp	3.4	ocr
01051064	23	7	dkp	0.3	ocr
01051065	22	8	without_certificate	93.4	ocr
01051065	22	8	with_certificate	6.6	ocr
01051065	22	8	number_voters	78.5	ocr
01051065	22	8	invalid_votes	0.2	ocr
01051065	23	8	spd	44.9	ocr
01051065	23	8	fdp	2.2	ocr
01051065	23	8	gruene	2.8	ocr
01051067	22	9	without_certificate	93.0	ocr
01051067	22	9	number_voters	83.7	ocr
01051067	22	9	invalid_votes	0.5	ocr
01051068	22	10	without_certificate	91.5	ocr
01051068	22	10	number_voters	80.9	ocr
01051068	22	10	invalid_votes	0.5	ocr
01051068	23	10	spd	34.7	ocr
01051068	23	10	fdp	3.4	ocr
01051068	23	10	ssw	0.7	ocr
01051068	23	10	gruene	3.9	ocr
01051069	22	11	without_certificate	90.6	ocr
01051069	22	11	with_certificate	9.4	ocr
01051069	22	11	number_voters	82.0	ocr
01051069	22	11	invalid_votes	0.6	ocr
01051069	23	11	fdp	2.1	ocr
01051069	23	11	dkp	0.1	ocr
01051069	23	11	gruene	1.9	ocr
01051071	22	12	without_certificate	88.8	ocr
01051071	22	12	with_certificate	11.2	ocr
01051071	22	12	number_voters	71.6	ocr
01051071	22	12	invalid_votes	0.4	ocr
01051071	23	12	cdu	43.9	ocr
01051071	23	12	fdp	1.7	ocr
01051071	23	12	gruene	1.9	visual
01051072	22	13	without_certificate	89.6	ocr
01051072	22	13	with_certificate	10.4	ocr
01051072	22	13	number_voters	76.1	ocr
01051072	22	13	invalid_votes	0.5	ocr
01051072	23	13	spd	44.6	ocr
01051072	23	13	fdp	2.0	ocr
01051072	23	13	gruene	2.5	ocr
01051073	22	14	without_certificate	96.6	ocr
01051073	22	14	with_certificate	3.4	ocr
01051073	22	14	number_voters	85.5	ocr
01051073	23	14	cdu	46.8	ocr
01051073	23	14	fdp	1.5	ocr
01051073	23	14	gruene	2.0	ocr
01051074	22	15	without_certificate	90.3	ocr
01051074	22	15	with_certificate	9.7	ocr
01051074	22	15	number_voters	77.9	ocr
01051074	22	15	invalid_votes	0.5	ocr
01051074	23	15	spd	45.5	ocr
01051074	23	15	fdp	2.3	ocr
01051074	23	15	gruene	2.0	ocr
01051075	22	16	without_certificate	93.8	ocr
01051075	22	16	with_certificate	6.2	ocr
01051075	22	16	number_voters	76.9	ocr
01051075	22	16	invalid_votes	0.3	ocr
01051075	23	16	spd	39.9	ocr
01051075	23	16	fdp	2.1	ocr
01051075	23	16	gruene	1.2	ocr
01051076	22	17	without_certificate	95.7	ocr
01051076	22	17	with_certificate	4.3	ocr
01051076	22	17	number_voters	77.4	ocr
01051076	23	17	spd	47.1	ocr
01051076	23	17	dkp	0.5	ocr
01051076	23	17	gruene	2.4	ocr
01051077	22	18	without_certificate	96.4	ocr
01051077	22	18	with_certificate	3.6	ocr
01051077	22	18	number_voters	79.1	ocr
01051077	23	18	spd	20.7	ocr
01051078	22	19	without_certificate	93.7	ocr
01051078	22	19	with_certificate	6.3	ocr
01051078	22	19	number_voters	80.8	ocr
01051078	22	19	invalid_votes	0.3	ocr
01051078	23	19	spd	43.5	ocr
01051078	23	19	fdp	2.5	ocr
01051078	23	19	dkp	0.2	ocr
01051078	23	19	gruene	2.2	ocr
01051079	22	20	without_certificate	95.6	ocr
01051079	22	20	with_certificate	4.4	ocr
01051079	22	20	number_voters	78.0	ocr
01051080	22	21	without_certificate	94.0	ocr
01051080	22	21	with_certificate	6.0	ocr
01051080	22	21	number_voters	77.1	ocr
01051080	23	21	spd	20.3	ocr
01051080	23	21	fdp	10.9	ocr
01051080	23	21	dkp	1.6	ocr
01051080	23	21	gruene	3.1	ocr
01051081	22	22	without_certificate	89.6	ocr
01051081	22	22	with_certificate	10.4	ocr
01051081	22	22	number_voters	71.5	ocr
01051081	23	22	spd	36.0	ocr
01051081	23	22	fdp	3.2	ocr
01051081	23	22	gruene	3.2	ocr
01051082	22	23	without_certificate	92.3	ocr
01051082	22	23	with_certificate	7.7	ocr
01051082	22	23	number_voters	81.0	ocr
01051082	22	23	invalid_votes	0.1	ocr
01051082	23	23	spd	38.0	ocr
01051082	23	23	fdp	2.0	ocr
01051082	23	23	dkp	0.1	ocr
01051082	23	23	gruene	2.7	ocr
01051083	22	24	without_certificate	95.3	ocr
01051083	22	24	with_certificate	4.7	ocr
01051083	22	24	number_voters	86.3	ocr
01051084	22	25	without_certificate	91.4	ocr
01051084	22	25	with_certificate	8.6	ocr
01051084	22	25	number_voters	77.6	ocr
01051085	24	1	without_certificate	96.7	ocr
01051085	24	1	with_certificate	3.3	ocr
01051085	24	1	number_voters	91.7	ocr
01051085	25	1	spd	22.5	ocr
01051085	25	1	fdp	0.5	ocr
01051085	25	1	gruene	0.9	ocr
01051086	24	2	without_certificate	94.7	ocr
01051086	24	2	with_certificate	5.3	ocr
01051086	24	2	number_voters	82.9	ocr
01051086	25	2	spd	23.2	ocr
01051086	25	2	fdp	1.9	ocr
01051086	25	2	gruene	3.2	ocr
01051087	24	3	without_certificate	90.9	ocr
01051087	24	3	with_certificate	9.1	ocr
01051087	24	3	invalid_votes	0.2	ocr
01051087	25	3	spd	43.8	ocr
01051087	25	3	fdp	1.8	ocr
01051087	25	3	dkp	0.2	ocr
01051087	25	3	gruene	3.1	ocr
01051088	24	4	without_certificate	94.2	ocr
01051088	24	4	with_certificate	5.8	ocr
01051088	24	4	number_voters	80.4	ocr
01051088	24	4	invalid_votes	1.0	ocr
01051088	25	4	spd	39.0	ocr
01051088	25	4	fdp	2.0	ocr
01051088	25	4	ssw	0.2	ocr
01051088	25	4	dkp	0.2	ocr
01051088	25	4	gruene	2.0	ocr
01051089	24	5	without_certificate	94.3	ocr
01051089	24	5	with_certificate	5.7	ocr
01051089	24	5	number_voters	77.3	ocr
01051089	25	5	spd	29.0	ocr
01051089	25	5	fdp	3.7	ocr
01051089	25	5	gruene	2.8	ocr
01051090	24	6	without_certificate	90.4	ocr
01051090	24	6	with_certificate	9.6	ocr
01051090	24	6	number_voters	80.1	ocr
01051090	25	6	spd	41.3	ocr
01051090	25	6	gruene	1.8	ocr
01051092	24	7	without_certificate	95.7	ocr
01051092	24	7	with_certificate	4.3	ocr
01051092	24	7	number_voters	85.2	ocr
01051092	24	7	invalid_votes	0.5	ocr
01051092	25	7	cdu	46.2	ocr
01051092	25	7	fdp	1.9	ocr
01051092	25	7	gruene	1.9	ocr
01051093	24	8	without_certificate	95.9	ocr
01051093	24	8	with_certificate	4.1	ocr
01051093	24	8	number_voters	83.2	ocr
01051093	24	8	invalid_votes	0.8	ocr
01051093	25	8	cdu	46.1	ocr
01051093	25	8	fdp	1.2	ocr
01051093	25	8	gruene	1.2	ocr
01051096	24	9	without_certificate	94.7	ocr
01051096	24	9	with_certificate	5.3	ocr
01051096	24	9	invalid_votes	0.4	ocr
01051096	25	9	spd	29.7	ocr
01051096	25	9	fdp	3.6	ocr
01051096	25	9	gruene	4.5	ocr
01051097	24	10	without_certificate	93.2	ocr
01051097	24	10	with_certificate	6.8	ocr
01051097	24	10	number_voters	77.1	ocr
01051097	24	10	invalid_votes	0.9	ocr
01051097	25	10	spd	39.1	ocr
01051097	25	10	fdp	3.3	ocr
01051097	25	10	dkp	0.2	ocr
01051097	25	10	gruene	2.3	ocr
01051098	24	11	without_certificate	91.1	ocr
01051098	24	11	with_certificate	8.9	ocr
01051098	24	11	number_voters	81.4	ocr
01051098	25	11	spd	40.5	ocr
01051098	25	11	fdp	0.5	ocr
01051098	25	11	gruene	3.2	ocr
01051099	24	12	without_certificate	94.2	ocr
01051099	24	12	with_certificate	5.8	ocr
01051099	24	12	number_voters	83.8	ocr
01051099	24	12	invalid_votes	0.5	ocr
01051099	25	12	spd	30.5	ocr
01051099	25	12	fdp	3.5	ocr
01051099	25	12	gruene	2.7	ocr
01051100	24	13	without_certificate	94.3	ocr
01051100	24	13	with_certificate	5.7	ocr
01051100	24	13	number_voters	79.9	ocr
01051100	24	13	invalid_votes	0.3	ocr
01051100	25	13	spd	27.2	ocr
01051100	25	13	fdp	0.3	ocr
01051100	25	13	gruene	1.2	ocr
01051102	24	14	without_certificate	93.9	ocr
01051102	24	14	with_certificate	6.1	ocr
01051102	25	14	spd	21.7	ocr
01051102	25	14	gruene	3.3	ocr
01051103	24	15	without_certificate	94.4	ocr
01051103	24	15	with_certificate	5.6	ocr
01051103	24	15	number_voters	80.9	ocr
01051103	24	15	invalid_votes	0.7	ocr
01051103	25	15	spd	39.2	ocr
01051103	25	15	fdp	1.4	ocr
01051103	25	15	dkp	1.4	ocr
01051103	25	15	gruene	3.5	ocr
01051104	24	16	without_certificate	90.3	ocr
01051104	24	16	with_certificate	9.7	ocr
01051104	24	16	number_voters	82.3	ocr
01051104	25	16	spd	13.7	ocr
01051104	25	16	fdp	2.0	ocr
01051104	25	16	gruene	7.8	ocr
01051105	24	17	without_certificate	92.9	ocr
01051105	24	17	with_certificate	7.1	ocr
01051105	24	17	number_voters	77.4	ocr
01051105	25	17	spd	28.9	ocr
01051105	25	17	fdp	4.1	ocr
01051105	25	17	gruene	2.4	ocr
01051107	24	18	without_certificate	92.6	ocr
01051107	24	18	with_certificate	7.4	ocr
01051107	24	18	number_voters	71.8	ocr
01051107	25	18	spd	30.6	ocr
01051107	25	18	fdp	0.5	ocr
01051108	24	19	without_certificate	90.9	ocr
01051108	24	19	with_certificate	9.1	ocr
01051108	24	19	number_voters	85.9	ocr
01051108	25	19	spd	18.8	ocr
01051108	25	19	fdp	2.4	ocr
01051108	25	19	gruene	5.9	ocr
01051109	24	20	without_certificate	92.7	ocr
01051109	24	20	with_certificate	7.3	ocr
01051109	24	20	number_voters	76.8	ocr
01051109	24	20	invalid_votes	0.9	ocr
01051109	25	20	spd	40.4	ocr
01051109	25	20	gruene	3.9	ocr
01051110	24	21	without_certificate	93.4	ocr
01051110	24	21	with_certificate	6.6	ocr
01051110	24	21	invalid_votes	0.2	ocr
01051110	25	21	spd	27.6	ocr
01051110	25	21	fdp	2.7	ocr
01051110	25	21	dkp	0.2	ocr
01051110	25	21	gruene	3.7	ocr
01051111	24	22	without_certificate	93.1	ocr
01051111	24	22	with_certificate	6.9	ocr
01051111	24	22	number_voters	83.5	ocr
01051111	24	22	invalid_votes	0.4	ocr
01051111	25	22	spd	36.7	ocr
01051111	25	22	fdp	3.7	ocr
01051111	25	22	gruene	2.2	ocr
01051113	24	23	without_certificate	93.1	ocr
01051113	24	23	invalid_votes	0.3	ocr
01051113	25	23	fdp	1.3	ocr
01051113	25	23	gruene	1.3	ocr
01051114	24	24	without_certificate	90.8	ocr
01051114	24	24	with_certificate	9.2	ocr
01051114	24	24	number_voters	80.0	ocr
01051114	24	24	invalid_votes	0.1	ocr
01051114	25	24	spd	30.5	ocr
01051114	25	24	fdp	2.6	ocr
01051114	25	24	ssw	0.1	ocr
01051114	25	24	dkp	0.1	ocr
01051114	25	24	gruene	2.4	ocr
01051117	24	25	without_certificate	92.2	ocr
01051117	24	25	number_voters	85.2	ocr
01051117	25	25	spd	18.3	ocr
01051117	25	25	ssw	0.9	ocr
01051117	25	25	dkp	0.9	ocr
01051117	25	25	gruene	1.8	ocr
01051118	26	1	without_certificate	90.4	ocr
01051118	26	1	with_certificate	9.6	ocr
01051118	26	1	number_voters	72.8	ocr
01051118	27	1	cdu	48.9	ocr
01051118	27	1	gruene	1.1	ocr
