ags	source_page	source_row	field	value	ocr	pdf_text	method
01051021	19	22	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051022	18	23	eligible_voters	467	467	467	ocr_candidates_and_row_identities
01051022	18	23	without_certificate	442	442	442	ocr_candidates_and_row_identities
01051022	18	23	with_certificate	25	25	25	ocr_candidates_and_row_identities
01051022	18	23	number_voters	362	362	362	ocr_candidates_and_row_identities
01051022	18	23	invalid_votes	3	3	3	ocr_candidates_and_row_identities
01051022	19	23	valid_votes	359	359	359	ocr_candidates_and_row_identities
01051022	19	23	cdu	174	174	174	ocr_candidates_and_row_identities
01051022	19	23	spd	172	172	172	ocr_candidates_and_row_identities
01051022	19	23	fdp	4	4	4	ocr_candidates_and_row_identities
01051022	19	23	ssw	0	-		ocr_candidates_and_row_identities
01051022	19	23	dkp	0			ocr_candidates_and_row_identities
01051022	19	23	dgl	0	-		ocr_candidates_and_row_identities
01051022	19	23	gruene	9	9	9	ocr_candidates_and_row_identities
01051022	19	23	fp	0	-		ocr_candidates_and_row_identities
01051022	19	23	fsu	0	-		ocr_candidates_and_row_identities
01051022	19	23	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051023	18	24	eligible_voters	436	436	436	ocr_candidates_and_row_identities
01051023	18	24	without_certificate	414	414	414	ocr_candidates_and_row_identities
01051023	18	24	with_certificate	22	22	22	ocr_candidates_and_row_identities
01051023	18	24	number_voters	340	340	340	ocr_candidates_and_row_identities
01051023	18	24	invalid_votes	4	r	4	ocr_candidates_and_row_identities
01051023	19	24	valid_votes	336	336	336	ocr_candidates_and_row_identities
01051023	19	24	cdu	222	222	222	ocr_candidates_and_row_identities
01051023	19	24	spd	100	100	100	ocr_candidates_and_row_identities
01051023	19	24	fdp	3	3	3	ocr_candidates_and_row_identities
01051023	19	24	ssw	1	1	1	ocr_candidates_and_row_identities
01051023	19	24	dkp	0			ocr_candidates_and_row_identities
01051023	19	24	dgl	0	-		ocr_candidates_and_row_identities
01051023	19	24	gruene	10	10	10	ocr_candidates_and_row_identities
01051023	19	24	fp	0	-		ocr_candidates_and_row_identities
01051023	19	24	fsu	0	-		ocr_candidates_and_row_identities
01051023	19	24	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051024	18	25	eligible_voters	1049	1049	1049	ocr_candidates_and_row_identities
01051024	18	25	without_certificate	970	970	970	ocr_candidates_and_row_identities
01051024	18	25	with_certificate	79	79	79	ocr_candidates_and_row_identities
01051024	18	25	number_voters	770	770	770	ocr_candidates_and_row_identities
01051024	18	25	invalid_votes	3	3	3	ocr_candidates_and_row_identities
01051024	19	25	valid_votes	767	767	767	ocr_candidates_and_row_identities
01051024	19	25	cdu	413	413	413	ocr_candidates_and_row_identities
01051024	19	25	spd	319	319	319	ocr_candidates_and_row_identities
01051024	19	25	fdp	12	12	12	ocr_candidates_and_row_identities
01051024	19	25	ssw	0	-		ocr_candidates_and_row_identities
01051024	19	25	dkp	0			ocr_candidates_and_row_identities
01051024	19	25	dgl	0	-		ocr_candidates_and_row_identities
01051024	19	25	gruene	23	23	23	ocr_candidates_and_row_identities
01051024	19	25	fp	0	-		ocr_candidates_and_row_identities
01051024	19	25	fsu	0	-		ocr_candidates_and_row_identities
01051024	19	25	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051026	20	1	eligible_voters	574	574	574	ocr_candidates_and_row_identities
01051026	20	1	without_certificate	553	553	553	ocr_candidates_and_row_identities
01051026	20	1	with_certificate	21	21	21	ocr_candidates_and_row_identities
01051026	20	1	number_voters	466	466	466	ocr_candidates_and_row_identities
01051026	20	1	invalid_votes	1	1	1	ocr_candidates_and_row_identities
01051026	21	1	valid_votes	465	465	465	ocr_candidates_and_row_identities
01051026	21	1	cdu	300	300	300	ocr_candidates_and_row_identities
01051026	21	1	spd	143	143	143	ocr_candidates_and_row_identities
01051026	21	1	fdp	4	4	4	ocr_candidates_and_row_identities
